order_id,order_date,customer_id,product_id,quantity,selling_price,discount_percent
ORD-00001,2023-01-31,CUST-0213,PROD-007,9,66.68,10
ORD-00002,2023-12-30,CUST-0233,PROD-062,9,52.19,0
ORD-00003,2022-05-10,CUST-0394,PROD-051,1,93.7,5
ORD-00004,2023-07-18,CUST-0183,PROD-046,5,164.96,15
ORD-00005,2023-02-04,CUST-0251,PROD-020,7,24.12,0
ORD-00006,2022-12-31,CUST-0009,PROD-096,4,107.45,20
ORD-00007,2024-09-20,CUST-0079,PROD-038,5,37.73,0
ORD-00008,2022-11-10,CUST-0052,PROD-061,2,92.47,0
ORD-00009,2024-06-26,CUST-0386,PROD-032,3,61.7,0
ORD-00010,2020-05-01,CUST-0409,PROD-026,7,245.1,0
ORD-00011,2021-04-11,CUST-0269,PROD-058,10,28.77,5
ORD-00012,2023-05-23,CUST-0226,PROD-039,7,2018.56,40
ORD-00013,2020-11-26,CUST-0051,PROD-020,4,35.67,0
ORD-00014,2024-01-22,CUST-0186,PROD-082,1,49.29,0
ORD-00015,2020-03-28,CUST-0034,PROD-050,1,41.34,0
ORD-00016,2023-10-28,CUST-0291,PROD-079,4,1507.55,10
ORD-00017,2023-01-28,CUST-0230,PROD-052,4,54.01,15
ORD-00018,2022-05-21,CUST-0131,PROD-086,6,340.64,15
ORD-00019,2024-08-14,CUST-0490,PROD-022,7,24.32,0
ORD-00020,2020-05-10,CUST-0120,PROD-053,9,44.22,10
ORD-00021,2024-08-12,CUST-0443,PROD-085,9,55.95,10
ORD-00022,2023-08-25,CUST-0326,PROD-066,10,141.03,10
ORD-00023,2022-02-08,CUST-0247,PROD-043,5,48.05,5
ORD-00024,2020-12-09,CUST-0432,PROD-082,10,34.13,15
ORD-00025,2024-02-24,CUST-0192,PROD-023,3,87.88,5
ORD-00026,2023-12-08,CUST-0497,PROD-077,3,22.45,0
ORD-00027,2022-03-16,CUST-0403,PROD-064,6,305.57,5
ORD-00028,2021-01-20,CUST-0323,PROD-009,1,19.46,5
ORD-00029,2023-04-30,CUST-0210,PROD-007,7,85.18,0
ORD-00030,2022-08-13,CUST-0103,PROD-041,3,91.18,10
ORD-00031,2020-10-03,CUST-0329,PROD-054,5,196.75,25
ORD-00032,2023-03-30,CUST-0372,PROD-065,7,99.78,10
ORD-00033,2021-04-04,CUST-0460,PROD-002,7,29.92,5
ORD-00034,2023-08-30,CUST-0133,PROD-004,9,33.01,15
ORD-00035,2020-01-22,CUST-0323,PROD-078,1,29.25,15
ORD-00036,2020-09-09,CUST-0139,PROD-032,3,58.22,5
ORD-00037,2022-01-17,CUST-0121,PROD-100,9,67.73,10
ORD-00038,2022-05-06,CUST-0094,PROD-002,8,25.42,15
ORD-00039,2024-05-03,CUST-0452,PROD-064,2,287.77,0
ORD-00040,2021-04-19,CUST-0453,PROD-014,8,71.27,5
ORD-00041,2022-12-18,CUST-0129,PROD-020,8,34.94,0
ORD-00042,2021-05-25,CUST-0091,PROD-089,2,1180.86,40
ORD-00043,2024-09-01,CUST-0092,PROD-049,8,1638.39,0
ORD-00044,2024-02-08,CUST-0063,PROD-008,3,139.26,0
ORD-00045,2021-11-30,CUST-0029,PROD-092,7,50.95,5
ORD-00046,2022-09-02,CUST-0210,PROD-063,9,51.7,20
ORD-00047,2024-12-11,CUST-0012,PROD-046,4,198.43,5
ORD-00048,2020-07-08,CUST-0333,PROD-021,6,1798.57,15
ORD-00049,2022-08-15,CUST-0297,PROD-087,9,17.9,10
ORD-00050,2021-11-17,CUST-0130,PROD-032,5,48.94,10
ORD-00051,2022-08-15,CUST-0293,PROD-008,1,288.59,20
ORD-00052,2021-07-16,CUST-0173,PROD-095,3,56.84,0
ORD-00053,2024-05-09,CUST-0208,PROD-016,9,185.7,25
ORD-00054,2023-06-21,CUST-0432,PROD-040,3,42.89,20
ORD-00055,2022-04-11,CUST-0024,PROD-027,10,85.06,25
ORD-00056,2024-03-08,CUST-0099,PROD-018,2,237.59,15
ORD-00057,2023-02-28,CUST-0406,PROD-035,4,147.08,20
ORD-00058,2024-02-17,CUST-0356,PROD-052,5,54.52,0
ORD-00059,2021-10-08,CUST-0139,PROD-015,7,43.86,5
ORD-00060,2020-01-21,CUST-0314,PROD-063,7,57.57,5
ORD-00061,2022-04-20,CUST-0174,PROD-053,9,52.25,0
ORD-00062,2020-06-15,CUST-0029,PROD-091,8,113.18,15
ORD-00063,2023-07-21,CUST-0419,PROD-081,2,57.89,0
ORD-00064,2021-01-22,CUST-0496,PROD-066,8,197.67,0
ORD-00065,2021-08-23,CUST-0143,PROD-031,8,68.23,15
ORD-00066,2020-11-11,CUST-0316,PROD-061,5,45.25,25
ORD-00067,2020-01-14,CUST-0351,PROD-064,3,177.61,15
ORD-00068,2020-08-29,CUST-0042,PROD-098,9,30.72,20
ORD-00069,2022-02-15,CUST-0489,PROD-034,7,209.09,10
ORD-00070,2023-10-01,CUST-0299,PROD-055,1,92.59,25
ORD-00071,2021-07-18,CUST-0208,PROD-059,8,1702.36,5
ORD-00072,2022-06-16,CUST-0330,PROD-003,10,51.43,40
ORD-00073,2023-09-25,CUST-0433,PROD-017,5,82.47,0
ORD-00074,2020-04-01,CUST-0192,PROD-078,6,19.85,20
ORD-00075,2023-10-22,CUST-0160,PROD-078,9,24.53,10
ORD-00076,2022-08-13,CUST-0064,PROD-046,10,177.62,10
ORD-00077,2024-01-18,CUST-0243,PROD-038,8,45.28,15
ORD-00078,2023-12-22,CUST-0258,PROD-035,3,155.6,20
ORD-00079,2021-05-23,CUST-0152,PROD-001,5,2008.68,20
ORD-00080,2022-02-14,CUST-0215,PROD-029,4,1756.9,0
ORD-00081,2020-02-04,CUST-0322,PROD-004,1,48.73,0
ORD-00082,2020-07-24,CUST-0166,PROD-061,5,71.96,0
ORD-00083,2023-01-09,CUST-0031,PROD-097,10,26.53,0
ORD-00084,2024-05-04,CUST-0371,PROD-017,7,45.74,0
ORD-00085,2023-11-12,CUST-0232,PROD-028,1,211.22,15
ORD-00086,2022-10-22,CUST-0282,PROD-050,4,42.47,5
ORD-00087,2022-10-18,CUST-0029,PROD-090,6,28.26,15
ORD-00088,2023-11-14,CUST-0195,PROD-008,9,296.84,5
ORD-00089,2021-07-19,CUST-0334,PROD-034,8,174.3,10
ORD-00090,2023-02-03,CUST-0256,PROD-059,2,1903.75,0
ORD-00091,2024-11-30,CUST-0281,PROD-018,3,155.35,15
ORD-00092,2024-02-09,CUST-0304,PROD-095,10,86.71,15
ORD-00093,2021-12-03,CUST-0321,PROD-059,5,1391.12,5
ORD-00094,2021-02-05,CUST-0437,PROD-027,7,85.22,5
ORD-00095,2021-12-30,CUST-0323,PROD-016,3,158.16,0
ORD-00096,2024-04-28,CUST-0346,PROD-010,7,47.27,20
ORD-00097,2020-06-10,CUST-0402,PROD-076,5,99.17,15
ORD-00098,2020-07-20,CUST-0393,PROD-022,10,46.2,10
ORD-00099,2022-09-22,CUST-0294,PROD-016,6,181.76,0
ORD-00100,2020-09-26,CUST-0087,PROD-012,6,25.9,0
ORD-00101,2022-03-26,CUST-0149,PROD-075,4,88.81,0
ORD-00102,2023-07-18,CUST-0249,PROD-084,8,283.44,0
ORD-00103,2021-03-31,CUST-0321,PROD-051,9,56.2,0
ORD-00104,2024-01-25,CUST-0405,PROD-001,2,2115.18,0
ORD-00105,2024-10-16,CUST-0283,PROD-027,9,55.03,10
ORD-00106,2023-06-29,CUST-0362,PROD-067,4,127.88,5
ORD-00107,2022-10-13,CUST-0379,PROD-012,6,26.5,5
ORD-00108,2024-09-21,CUST-0198,PROD-030,7,16.12,10
ORD-00109,2020-10-22,CUST-0044,PROD-009,4,21.12,10
ORD-00110,2024-10-14,CUST-0356,PROD-053,8,42.93,10
ORD-00111,2021-12-20,CUST-0028,PROD-061,10,67.44,0
ORD-00112,2024-11-07,CUST-0429,PROD-054,8,190.86,20
ORD-00113,2020-12-03,CUST-0017,PROD-037,1,96.2,25
ORD-00114,2022-05-28,CUST-0127,PROD-065,8,101.29,5
ORD-00115,2022-12-12,CUST-0379,PROD-042,10,52.28,0
ORD-00116,2022-03-02,CUST-0168,PROD-049,3,2450.07,25
ORD-00117,2020-08-04,CUST-0244,PROD-004,5,61.84,25
ORD-00118,2022-02-02,CUST-0387,PROD-064,10,339.14,0
ORD-00119,2020-07-06,CUST-0076,PROD-079,8,1122.13,0
ORD-00120,2021-01-14,CUST-0231,PROD-051,6,86.43,20
ORD-00121,2021-05-07,CUST-0204,PROD-091,4,64.98,5
ORD-00122,2022-11-30,CUST-0450,PROD-072,4,45.48,25
ORD-00123,2023-03-26,CUST-0248,PROD-060,4,28.61,0
ORD-00124,2020-01-15,CUST-0302,PROD-087,6,30.69,20
ORD-00125,2020-03-05,CUST-0214,PROD-079,7,1039.36,0
ORD-00126,2021-06-04,CUST-0215,PROD-091,5,92.15,0
ORD-00127,2023-09-29,CUST-0158,PROD-031,10,75.64,30
ORD-00128,2023-02-26,CUST-0069,PROD-072,8,36.3,0
ORD-00129,2021-10-09,CUST-0393,PROD-094,7,270.05,0
ORD-00130,2024-02-04,CUST-0085,PROD-058,8,47.24,20
ORD-00131,2022-12-22,CUST-0267,PROD-082,4,35.22,0
ORD-00132,2023-03-08,CUST-0069,PROD-004,8,62.77,0
ORD-00133,2024-03-02,CUST-0099,PROD-022,6,38.12,5
ORD-00134,2021-08-15,CUST-0347,PROD-003,3,103.13,10
ORD-00135,2021-01-26,CUST-0497,PROD-079,8,1264.74,15
ORD-00136,2024-08-25,CUST-0450,PROD-099,7,292.39,25
ORD-00137,2021-02-22,CUST-0216,PROD-047,10,245.24,10
ORD-00138,2020-10-15,CUST-0415,PROD-038,5,32.47,5
ORD-00139,2021-01-13,CUST-0161,PROD-033,4,33.1,5
ORD-00140,2024-12-01,CUST-0423,PROD-078,1,33.73,20
ORD-00141,2024-02-22,CUST-0094,PROD-048,10,30.78,15
ORD-00142,2020-08-18,CUST-0174,PROD-065,3,47.69,25
ORD-00143,2022-10-14,CUST-0165,PROD-026,2,166.99,30
ORD-00144,2020-02-10,CUST-0115,PROD-008,8,180.93,5
ORD-00145,2022-11-17,CUST-0220,PROD-050,8,25.36,10
ORD-00146,2020-05-14,CUST-0444,PROD-080,5,38.66,10
ORD-00147,2020-07-19,CUST-0031,PROD-038,5,39.57,0
ORD-00148,2022-02-18,CUST-0011,PROD-010,4,77.4,0
ORD-00149,2022-07-18,CUST-0343,PROD-042,1,72.96,20
ORD-00150,2022-11-22,CUST-0377,PROD-037,1,121.33,10
ORD-00151,2022-12-07,CUST-0130,PROD-026,6,166.18,10
ORD-00152,2021-05-17,CUST-0488,PROD-092,4,46.48,10
ORD-00153,2021-02-10,CUST-0105,PROD-012,4,22.73,15
ORD-00154,2024-05-16,CUST-0027,PROD-084,3,215.86,0
ORD-00155,2024-10-17,CUST-0227,PROD-049,9,1944.66,10
ORD-00156,2022-03-15,CUST-0002,PROD-014,3,73.32,5
ORD-00157,2020-04-08,CUST-0359,PROD-046,8,210.42,25
ORD-00158,2021-11-14,CUST-0101,PROD-035,2,112.1,10
ORD-00159,2021-12-26,CUST-0021,PROD-029,4,1177.88,30
ORD-00160,2024-04-19,CUST-0058,PROD-012,1,28.33,5
ORD-00161,2022-08-18,CUST-0389,PROD-082,5,67.6,30
ORD-00162,2024-10-28,CUST-0180,PROD-044,2,222.81,20
ORD-00163,2021-09-04,CUST-0429,PROD-066,1,189.99,10
ORD-00164,2024-01-25,CUST-0341,PROD-002,1,40.8,5
ORD-00165,2021-10-04,CUST-0349,PROD-059,2,1410.33,5
ORD-00166,2024-11-27,CUST-0020,PROD-017,5,55.28,15
ORD-00167,2022-10-25,CUST-0255,PROD-010,9,75.01,10
ORD-00168,2023-05-26,CUST-0317,PROD-018,6,204.8,5
ORD-00169,2021-05-17,CUST-0038,PROD-022,4,26.72,10
ORD-00170,2022-02-05,CUST-0148,PROD-083,3,50.08,15
ORD-00171,2021-02-01,CUST-0498,PROD-058,8,48.11,0
ORD-00172,2022-05-20,CUST-0025,PROD-053,3,56.2,0
ORD-00173,2022-03-05,CUST-0386,PROD-001,1,1270.76,0
ORD-00174,2021-01-27,CUST-0121,PROD-088,4,29.81,0
ORD-00175,2020-07-25,CUST-0416,PROD-061,5,52.52,5
ORD-00176,2022-11-04,CUST-0026,PROD-100,5,115.49,20
ORD-00177,2024-04-26,CUST-0454,PROD-089,5,1818.02,5
ORD-00178,2022-06-10,CUST-0169,PROD-100,8,100.35,0
ORD-00179,2024-01-24,CUST-0323,PROD-031,8,70.58,5
ORD-00180,2024-09-10,CUST-0225,PROD-031,4,93.87,40
ORD-00181,2024-05-17,CUST-0001,PROD-066,9,179.3,5
ORD-00182,2022-05-13,CUST-0307,PROD-019,1,35.02,30
ORD-00183,2022-01-12,CUST-0261,PROD-053,5,30.71,0
ORD-00184,2023-06-18,CUST-0013,PROD-076,5,88.81,0
ORD-00185,2021-07-17,CUST-0403,PROD-074,5,165.73,15
ORD-00186,2022-10-17,CUST-0396,PROD-095,8,97.52,10
ORD-00187,2020-04-05,CUST-0048,PROD-022,9,43.37,15
ORD-00188,2024-10-23,CUST-0409,PROD-023,3,111.66,20
ORD-00189,2021-04-29,CUST-0313,PROD-087,9,16.67,0
ORD-00190,2023-12-01,CUST-0371,PROD-015,8,51.31,15
ORD-00191,2020-08-18,CUST-0291,PROD-026,3,174.29,10
ORD-00192,2022-01-18,CUST-0332,PROD-003,2,99.87,20
ORD-00193,2024-08-05,CUST-0094,PROD-087,4,23.68,5
ORD-00194,2023-04-09,CUST-0261,PROD-020,2,18.2,0
